ID2,Sector,ID,Subsector,P1,P2,cluster
33,Manufacturing,333613,Mechanical Power Transmission Equipment Manufacturing OR Mechanical Power Transmission Equipment Manufacturing,9.888499,6.113444,0
33,Manufacturing,334290,Other communications equipment manufacturing OR Other communications equipment manufacturing,11.211993,9.9439745,0
31,Manufacturing,314110,Carpet and rug mills OR Carpet and rug mills,14.811347,20.045292,0
33,Manufacturing,333611,Turbine and turbine generator set units manufacturing OR Turbine and turbine generator set units manufacturing,10.190755,8.8438015,0
54,"Professional, Scientific, and Technical Services",541920,Photographic services OR Photographic services,13.120768,7.5042562,0
71,"Arts, Entertainment, and Recreation",711100,Performing arts companies OR Performing arts companies,11.508035,6.081793,0
54,"Professional, Scientific, and Technical Services",541511,Custom computer programming services OR Custom computer programming services,14.645176,9.051218,0
33,Manufacturing,33461A,"Software, audio and video reproduction OR Software, audio and video reproduction",6.96146,1.0591623,0
33,Manufacturing,333130,Mining and oil and gas field machinery manufacturing OR Mining and oil and gas field machinery manufacturing,10.429974,6.749961,0
33,Manufacturing,33441A,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing OR Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",7.559169,1.6829772,0
33,Manufacturing,336120,Heavy duty truck manufacturing OR Heavy duty truck manufacturing,16.677303,27.179798,0
33,Manufacturing,334613,Magnetic and optical recording media manufacturing OR Magnetic and optical recording media manufacturing,11.860253,10.021857,0
33,Manufacturing,335311,Electric power and specialty transformer manufacturing OR Electric power and specialty transformer manufacturing,11.905349,10.671758,0
31,Manufacturing,316100,Leather and hide tanning and finishing OR Leather and hide tanning and finishing,14.648649,13.461526,0
33,Manufacturing,334513,Industrial process variable instruments OR Industrial process variable instruments,8.535999,3.16517,0
32,Manufacturing,32121B,Engineered wood member and truss manufacturing OR Engineered wood member and truss manufacturing,-7.940417,-20.433937,0
61,Educational Services,611B00,Other educational services OR Other educational services,19.783112,19.03475,0
33,Manufacturing,332996,Fabricated pipe and pipe fitting manufacturing OR Fabricated pipe and pipe fitting manufacturing,13.038265,11.77829,0
33,Manufacturing,332913,Plumbing Fixture Fitting and Trim Manufacturing OR Plumbing Fixture Fitting and Trim Manufacturing,12.466621,10.325017,0
31,Manufacturing,311920,Coffee and tea manufacturing OR Coffee and tea manufacturing,14.097185,21.08807,0
33,Manufacturing,333911,Pump and pumping equipment manufacturing OR Pump and pumping equipment manufacturing,10.699578,7.460228,0
32,Manufacturing,327991,Cut stone and stone product manufacturing OR Cut stone and stone product manufacturing,15.001064,21.59871,0
72,Accommodation and Food Services,721A00,Other accommodations OR Other accommodations,18.421263,18.951807,0
31,Manufacturing,311230,Breakfast cereal manufacturing OR Breakfast cereal manufacturing,14.324204,20.34163,0
33,Manufacturing,336412,Aircraft engine and engine parts manufacturing OR Aircraft engine and engine parts manufacturing,12.417148,14.048779,0
33,Manufacturing,333414,Heating equipment (except warm air furnaces) manufacturing OR Heating equipment (except warm air furnaces) manufacturing,15.359651,15.347384,0
33,Manufacturing,334411,Electron tube manufacturing OR Electron tube manufacturing,12.043221,9.1307335,0
51,Information,519100,Other information services OR Other information services,13.182725,8.9020605,0
33,Manufacturing,339113,Surgical appliance and supplies manufacturing OR Surgical appliance and supplies manufacturing,12.014456,11.813987,0
33,Manufacturing,333511,Industrial mold manufacturing OR Industrial mold manufacturing,11.540061,8.768453,0
33,Manufacturing,334111,Electronic computer manufacturing OR Electronic computer manufacturing,13.446815,13.908672,0
33,Manufacturing,335999,Miscellaneous electrical equipment manufacturing OR Miscellaneous electrical equipment manufacturing,13.062561,13.185904,0
33,Manufacturing,334417,Electronic connector manufacturing OR Electronic connector manufacturing,11.446783,8.290695,0
33,Manufacturing,333514,"Special tool, die, jig, and fixture manufacturing OR Special tool, die, jig, and fixture manufacturing",12.947362,10.887228,0
33,Manufacturing,333319,Other commercial and service industry machinery manufacturing OR Other commercial and service industry machinery manufacturing,17.735254,19.222017,0
33,Manufacturing,339994,"Broom, brush, and mop manufacturing OR Broom, brush, and mop manufacturing",13.958806,14.5979595,0
31,Manufacturing,315900,Accessories and other apparel manufacturing OR Accessories and other apparel manufacturing,17.52563,27.147842,0
33,Manufacturing,33351A,Metal cutting and forming machine tool manufacturing OR Metal cutting and forming machine tool manufacturing,14.28312,15.852494,0
33,Manufacturing,333220,Plastics and rubber industry machinery OR Plastics and rubber industry machinery,14.344289,15.300579,0
31,Manufacturing,314120,Curtain and linen mills OR Curtain and linen mills,18.0191,24.499613,0
33,Manufacturing,33331A,"Vending, commerical, industrial, and office machinery manufacturing OR Vending, commerical, industrial, and office machinery manufacturing",16.424326,18.912899,0
31,Manufacturing,312130,Wineries OR Wineries,14.259595,22.732634,0
33,Manufacturing,333112,Lawn and garden equipment manufacturing OR Lawn and garden equipment manufacturing,15.323612,18.997364,0
31,Manufacturing,315230,Women's and girls' cut and sew apparel manufacturing OR Women's and girls' cut and sew apparel manufacturing,16.057285,24.47672,0
33,Manufacturing,337920,Blind and shade manufacturing OR Blind and shade manufacturing,8.245041,14.399841,0
33,Manufacturing,334300,Audio and video equipment manufacturing OR Audio and video equipment manufacturing,11.771205,7.711256,0
