,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
186,335312,Motors And Generators,0.435,0.002,0.333,0.024,0.07,0.028,0.608,Motor and generator manufacturing,1370.0,0.0,0.0,0.0
187,561100,Office Administration,0.419,0.0,0.032,0.0,0.002,0.0,0.019,Office administrative services,2720.0,0.0,0.0,0.0
188,561300,Employment Services,0.403,0.0,0.02,0.0,0.002,0.0,0.018,Employment services,8260.0,0.0,0.0,0.0
189,561500,Travel Arrangement And Reservation,0.394,0.0,0.019,0.0,0.002,0.0,0.018,Travel arrangement and reservation services,9040.0,0.0,0.0,0.0
190,333120,Construction Machinery,0.383,0.001,0.19,0.007,0.027,0.077,0.514,Construction machinery manufacturing,811.0,0.0,0.0,0.0
191,325412,"Pharmaceutical Products (Pills, Powders, Solutions, Etc.)",0.379,0.006,0.447,0.032,0.048,0.299,0.683,Pharmaceutical preparation manufacturing,8400.0,0.0,0.0,0.0
192,335911,Storage Batteries,0.373,0.001,0.256,0.017,0.394,0.006,0.21,Storage battery manufacturing,3000.0,0.0,0.0,0.0
193,33211B,"Lids, Jars, Bottle Caps, Other Metal Closures And Crowns",0.37,0.004,0.182,0.034,0.056,0.017,2.84,"Crown, closure and metal stamping manufacturing",3390.0,0.0,0.0,0.0
194,326160,Plastic Bottles,0.36,0.004,0.136,0.024,0.08,0.03,1.83,Plastics bottle manufacturing,1210.0,0.0,0.0,0.0
195,5191A0,"News Syndicates, Libraries, Archives, Internet Publishing And All Other Information Services",0.358,0.0,0.02,0.0,0.002,0.002,0.017,,,,,
196,33441A,"Electronic Capacitors, Resistors, Coils, Transformers, Connectors And Other Components (Except Semiconductors And Printed Circuit Assemblies)",0.345,0.084,0.298,0.012,0.042,0.143,1.34,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",251.0,0.0,0.0,0.0
197,334210,Telephones,0.343,0.001,0.112,0.0,0.008,0.001,0.216,Telephone apparatus manufacturing,555.0,0.0,0.0,0.0
198,33329A,"Machinery For The Paper, Textile, Food Or Other Industries (Except Semiconductor Machinery)",0.331,0.008,0.162,0.042,0.11,0.12,0.597,Other industrial machinery manufacturing,1150.0,0.0,0.0,0.0
199,336310,Vehicle Engines And Engine Parts,0.324,0.02,0.153,0.02,0.058,0.021,1.36,,,,,
200,335311,Specialty Transformers,0.297,0.0,0.1,0.001,0.007,0.001,0.096,Electric power and specialty transformer manufacturing,247.0,0.0,0.0,0.0
201,31151A,Fluid Milk And Butter,0.296,0.016,0.184,0.073,0.082,0.016,0.062,Fluid milk and butter manufacturing,2200.0,0.0,0.0,0.0
202,327330,"Concrete Pipe, Bricks, And Blocks",0.29,0.001,0.206,0.322,0.236,0.173,0.077,"Concrete pipe, brick and block manufacturing",1130.0,0.0,0.0,0.0
203,335314,Relay And Industrial Controls,0.282,0.004,0.118,0.005,0.019,0.012,0.456,Relay and industrial control manufacturing,918.0,0.0,0.0,0.0
204,327390,Other Concrete Products,0.277,0.001,0.248,0.396,0.265,0.047,0.151,Other concrete product manufacturing,2530.0,0.0,0.0,0.0
205,333130,"Mining And Oil, Gas Field Machinery",0.273,0.001,0.114,0.007,0.034,0.015,0.678,Mining and oil and gas field machinery manufacturing,255.0,0.0,0.0,0.0
206,33291A,Valve And Fittings (Except For Plumbing),0.269,0.012,0.11,0.049,0.094,0.028,3.15,Valve and fittings other than plumbing,2280.0,0.0,0.0,0.0
207,333920,Material Handling Equipment,0.269,0.001,0.098,0.006,0.035,0.009,1.27,Material handling equipment manufacturing,1870.0,0.0,0.0,0.0
208,524100,Insurance Carriers,0.263,0.0,0.065,0.0,0.017,0.005,0.019,Insurance carriers,67.1,0.0,0.0,0.0
209,313100,"Fiber, Yarn, And Thread",0.256,0.0,0.146,0.077,0.027,0.044,0.128,"Fiber, yarn, and thread mills",2310.0,0.0,0.0,0.0
210,333415,"Air Conditioning, Refrigeration, And Warm Air Heating Equipment",0.255,0.003,0.149,0.011,0.035,0.003,1.68,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",850.0,0.0,0.0,0.0
211,541940,Veterinarians,0.245,0.0,0.014,0.0,0.002,0.001,0.011,Veterinary services,306.0,0.0,0.0,0.0
212,311410,Frozen Food,0.236,0.011,0.052,0.011,0.032,0.023,0.215,Frozen food manufacturing,2880.0,0.0,0.0,0.0
213,33399A,"Welding And Soldering Equipment, Scales And Balances, And Other General Purpose Machinery",0.233,0.002,0.071,0.005,0.037,0.043,0.345,Fluid power process machinery,570.0,0.0,0.0,0.0
